0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.01,0.998,1.998,2.986,3.987,4.988,5.99,6.991,7.992,8.993,9.993,10.98,11.978,12.976,13.976,14.977,15.979,16.98,17.981,18.963,19.959,20.962,21.964,22.966,23.971,24.969,25.97,26.972,27.973,28.977,29.975,30.971,31.97,32.97,33.97,34.971,35.972,36.952,37.946,38.947,39.949,40.956,41.958,42.955,43.96,44.961,45.968,46.964,47.962,48.957,49.955,50.955,51.954,52.955,53.956,54.932,55.925,56.926,57.928,58.929,59.931,60.932,61.934,62.936,63.936,64.938,65.939,66.94,67.941,68.943,69.944,70.944,71.945,72.946,73.948,74.949,75.95,76.951,77.955,78.957,79.556,80.95,81.949,82.947,83.944,84.944,85.945,86.922,87.915,88.915,89.916,90.919,91.922,92.922,93.924,94.926,95.926,96.928,97.929
0.02,0.991,1.993,2.947,3.95,4.954,5.958,6.963,7.967,8.97,9.973,10.922,11.914,12.903,13.904,14.909,15.915,16.919,17.924,18.854,19.838,20.848,21.856,22.864,23.885,24.876,25.882,26.887,27.892,28.908,29.9,30.883,31.878,32.879,33.881,34.883,35.886,36.809,37.786,38.792,39.8,40.824,41.831,42.821,43.842,44.847,45.874,46.857,47.848,48.828,49.821,50.819,51.818,52.82,53.821,54.732,55.703,56.708,57.715,58.722,59.728,60.734,61.74,62.746,63.749,64.755,65.76,66.763,67.769,68.773,69.777,70.778,71.783,72.788,73.793,74.797,75.801,76.806,77.82,78.826,79.819,80.799,81.792,82.784,83.778,84.776,85.777,86.694,87.664,88.664,89.669,90.678,91.687,92.691,93.701,94.706,95.708,96.713,97.718
0.03,0.98,1.984,2.884,3.889,4.897,5.907,6.918,7.926,8.933,9.938,10.83,11.811,12.786,13.787,14.798,15.809,16.82,17.83,18.683,19.645,20.665,21.682,22.698,23.746,24.726,25.738,26.749,27.759,28.794,29.777,30.74,31.729,32.73,33.734,34.739,35.744,36.583,37.532,38.543,39.559,40.61,41.625,42.603,43.649,44.66,45.718,46.681,47.66,48.618,49.601,50.596,51.594,52.597,53.601,54.417,55.35,56.36,57.375,58.392,59.404,60.417,61.428,62.441,63.447,64.461,65.471,66.476,67.491,68.5,69.509,70.509,71.518,72.529,73.539,74.548,75.538,76.567,77.599,78.609,79.595,80.553,81.536,82.518,83.506,84.502,85.502,86.332,87.263,88.26,89.269,90.29,91.307,92.318,93.34,94.352,95.354,96.365,97.375
0.04,0.966,1.972,2.802,3.807,4.82,5.837,6.855,7.869,8.881,9.891,10.709,11.674,12.629,13.628,14.646,15.665,16.683,17.7,18.462,19.392,20.422,21.451,22.477,23.558,24.523,25.543,26.562,27.579,28.64,29.609,30.546,31.526,32.527,33.532,34.54,35.549,36.291,37.197,38.212,39.237,40.323,41.346,42.308,43.386,44.405,45.503,46.44,47.404,48.332,49.303,50.293,51.288,52.292,53.297,54.008,54.888,55.9,56.924,57.956,58.977,59.998,61.017,62.036,63.044,64.071,65.088,66.093,67.12,68.136,69.151,70.148,71.161,72.177,73.194,74.209,75.225,76.24,77.295,78.311,79.286,80.217,81.186,82.154,83.134,84.125,85.123,85.854,86.734,87.723,88.735,89.772,90.798,91.817,92.857,93.877,94.877,95.895,96.912
0.05,0.947,1.957,2.708,3.707,4.724,5.749,6.776,7.798,8.815,9.83,10.568,11.507,12.439,13.434,14.458,15.484,16.511,17.536,18.204,19.091,20.131,21.171,22.208,23.329,24.274,25.304,26.331,27.356,28.448,29.401,30.308,31.276,32.274,33.28,34.291,35.304,35.948,36.802,37.816,38.847,39.97,41.003,41.945,43.061,44.088,45.232,46.139,47.085,47.98,48.934,49.915,50.906,51.911,52.917,53.527,54.345,55.351,56.385,57.439,58.468,59.497,60.525,61.552,62.557,63.603,64.627,65.627,66.673,67.696,68.717,69.707,70.723,71.745,72.767,73.788,74.81,75.832,76.914,77.936,78.899,79.798,80.75,81.7,82.669,83.654,84.649,85.286,86.104,87.077,88.085,89.144,90.18,91.208,92.271,93.299,94.294,95.32,96.344
0.06,0.925,1.939,2.606,3.592,4.613,5.645,6.682,7.712,8.736,9.757,10.412,11.319,12.222,13.209,14.237,15.271,16.306,17.34,17.924,18.758,19.805,20.854,21.902,23.065,23.988,25.026,26.063,27.096,28.223,29.157,30.031,30.984,31.977,32.982,33.995,35.011,35.571,36.363,37.369,38.403,39.565,40.606,41.526,42.681,43.717,44.908,45.786,46.71,47.57,48.504,49.474,50.458,51.46,52.467,52.996,53.743,54.736,55.779,56.861,57.899,58.936,59.972,61.007,62.004,63.073,64.105,65.096,66.166,67.195,68.223,69.202,70.217,71.242,72.269,73.295,74.323,75.352,76.462,77.491,78.439,79.305,80.237,81.167,82.121,83.098,84.087,84.647,85.397,86.346,87.344,88.427,89.474,90.51,91.601,92.638,93.623,94.656,95.688
0.07,0.9,1.917,2.502,3.468,4.488,5.526,6.574,7.612,8.645,9.672,10.249,11.116,11.987,12.961,13.99,15.03,16.073,17.116,17.63,18.405,19.455,20.511,21.567,22.772,23.671,24.719,25.764,26.806,27.971,28.883,29.724,30.657,31.642,32.645,33.658,34.677,35.171,35.897,36.889,37.921,39.116,40.164,41.059,42.254,43.299,44.535,45.385,46.287,47.112,48.022,48.977,49.951,50.95,51.954,52.43,53.106,54.076,55.127,56.242,57.288,58.333,59.377,60.419,61.4,62.499,63.538,64.513,65.613,66.649,67.684,68.646,69.656,70.68,71.711,72.74,73.772,74.806,75.946,76.981,77.913,78.748,79.656,80.563,81.501,82.466,83.448,83.955,84.638,85.553,86.533,87.644,88.699,89.742,90.866,91.91,92.879,93.92,94.961
0.08,0.872,1.893,2.4,3.336,4.352,5.396,6.453,7.501,8.541,9.576,10.084,10.903,11.739,12.695,13.721,14.764,15.814,16.865,17.332,18.045,19.091,20.15,21.212,22.459,23.331,24.387,25.44,26.49,27.694,28.583,29.391,30.302,31.276,32.273,33.284,34.305,34.758,35.418,36.387,37.412,38.634,39.686,40.557,41.789,42.842,44.119,44.944,45.822,46.614,47.498,48.434,49.395,50.387,51.388,51.839,52.45,53.388,54.446,55.599,56.651,57.703,58.753,59.801,60.762,61.894,62.94,63.895,65.028,66.07,67.112,68.051,69.052,70.072,71.103,72.132,73.167,74.206,75.373,76.414,77.33,78.134,79.018,79.901,80.819,81.77,82.742,83.222,83.845,84.719,85.672,86.813,87.874,88.923,90.082,91.131,92.081,93.129,94.176
0.09,0.842,1.866,2.304,3.201,4.209,5.255,6.321,7.378,8.427,9.469,9.92,10.687,11.485,12.417,13.435,14.478,15.533,16.591,17.032,17.685,18.723,19.781,20.846,22.129,22.976,24.038,25.098,26.156,27.397,28.263,29.04,29.926,30.884,31.872,32.88,33.899,34.336,34.937,35.876,36.887,38.128,39.181,40.028,41.292,42.351,43.663,44.469,45.324,46.086,46.942,47.856,48.8,49.781,50.775,51.229,51.786,52.687,53.75,54.943,56,57.057,58.113,59.166,60.102,61.27,62.321,63.251,64.42,65.468,66.516,67.429,68.416,69.428,70.455,71.482,72.518,73.558,74.751,75.797,76.696,77.473,78.332,79.189,80.086,81.02,81.979,82.457,83.03,83.859,84.779,85.95,87.014,88.067,89.261,90.315,91.241,92.294,93.347
0.1,0.811,1.837,2.215,3.065,4.06,5.107,6.18,7.245,8.302,9.351,9.76,10.472,11.23,12.134,13.138,14.177,15.234,16.298,16.733,17.331,18.356,19.41,20.474,21.789,22.611,23.678,24.744,25.807,27.084,27.927,28.675,29.534,30.473,31.449,32.45,33.467,33.907,34.458,35.364,36.356,37.606,38.656,39.48,40.77,41.834,43.172,43.964,44.797,45.534,46.361,47.25,48.174,49.142,50.125,50.603,51.122,51.982,53.047,54.281,55.342,56.403,57.463,58.521,59.427,60.634,61.689,62.591,63.798,64.852,65.904,66.789,67.757,68.758,69.778,70.799,71.832,72.872,74.086,75.135,76.018,76.773,77.607,78.438,79.312,80.226,81.169,81.666,82.202,82.985,83.867,85.066,86.13,87.186,88.413,89.47,90.371,91.429,92.486
